Window,Trees,Accuracy
10,100,52.72
10,500,51.71
10,200,51.61
10,50,51.33
22,50,50.99
5,500,50.77
22,100,50.7
5,50,50.48
5,200,50.34
5,100,50.29
22,200,50.12
22,500,50.07
