Date,Market_Growth,LSTM_Growth,RF_Growth,Market_Return,LSTM_Return,RF_Return
2022-04-14,0.962410356561316,0.962410356561316,1.0011726146764883,0.0004113513975871028,0.0004113513975871028,0.002834144550142473
2022-04-18,0.9779461439010687,0.9779461439010687,1.0011726146764883,0.016142581211679673,0.016142581211679673,0.0
2022-04-19,0.9772207408649909,0.9772207408649909,0.9885264720086415,-0.0007417617428135081,-0.0007417617428135081,-0.012631330983751741
2022-04-20,0.9626080068794443,0.9626080068794443,0.978641780558087,-0.014953360458366923,-0.014953360458366923,-0.009999420076701881
2022-04-21,0.9361949289911452,0.9361949289911452,0.983573347282874,-0.027439079770304724,-0.027439079770304724,0.005039194956478102
2022-04-22,0.9416226252224644,0.9416226252224644,0.9809432255351805,0.005797613363670197,0.005797613363670197,-0.0026740473956102717
2022-04-25,0.9143523298917027,0.9143523298917027,0.9641767473071475,-0.028960960155687585,-0.028960960155687585,-0.017092200436865913
2022-04-26,0.9169232730201137,0.9169232730201137,0.9606040653884836,0.002811764179258401,0.002811764179258401,-0.0037054221942626536
2022-04-27,0.9400843679962577,0.9400843679962577,0.9716064700644617,0.025259578045017196,0.025259578045017196,0.01145363118105118
2022-04-28,0.905342831888666,0.905342831888666,0.9595082636080651,-0.03695576406790109,-0.03695576406790109,-0.012451755756210632
2022-04-29,0.9107925680921326,0.9107925680921326,0.9599029586732967,0.006019527643575226,0.006019527643575226,0.0004113513975871028
2022-05-02,0.9149676043584934,0.9149676043584934,0.975398270139012,0.0045839595234142515,0.0045839595234142515,0.016142581211679673
2022-05-03,0.9428311341838989,0.9428311341838989,0.9746747570182165,0.030453023355882767,0.030453023355882767,-0.0007417617428135081
2022-05-04,0.9093202180691183,0.9093202180691183,0.9601000940468519,-0.03554286117607582,-0.03554286117607582,-0.014953360458366923
2022-05-05,0.9038925218377991,0.9038925218377991,0.9337558309788233,-0.00596896024465898,-0.00596896024465898,-0.027439079770304724
2022-05-06,0.8749524386469245,0.8749524386469245,0.939169386262911,-0.032017172940023264,-0.032017172940023264,0.005797613363670197
2022-05-09,0.876973943684727,0.876973943684727,0.9119701390879092,0.0023104170564159864,0.0023104170564159864,-0.028960960155687585
2022-05-10,0.8630421078289048,0.8630421078289048,0.9145343840575499,-0.015886259741407824,-0.015886259741407824,0.002811764179258401
2022-05-11,0.862141235868646,0.862141235868646,0.9376351367065032,-0.0010438331479851268,-0.0010438331479851268,0.025259578045017196
2022-05-12,0.882753215207497,0.882753215207497,0.9029841138126035,0.023907891748251066,0.023907891748251066,-0.03695576406790109
2022-05-13,0.8791714132035602,0.8791714132035602,0.9084196516474078,-0.0040575349284850595,-0.0040575349284850595,0.006019527643575226
2022-05-16,0.8972563164128257,0.8972563164128257,0.9125838105608336,0.02057039496241916,0.02057039496241916,0.0045839595234142515
2022-05-17,0.8610864391672848,0.8610864391672848,0.9403747466580432,-0.040311644046314134,-0.040311644046314134,0.030453023355882767
2022-05-18,0.8558128095633075,0.8558128095633075,0.9069511375840889,-0.006124390495659373,-0.006124390495659373,-0.03554286117607582
2022-05-19,0.8561860704596365,0.8561860704596365,0.9069511375840889,0.00043614782597057943,0.00043614782597057943,-0.0
2022-05-20,0.8722055308052638,0.8722055308052638,0.8779131261639083,0.018710255747360422,0.018710255747360422,-0.032017172940023264
2022-05-23,0.8655473564673726,0.8655473564673726,0.8799414716246488,-0.007633721757925552,-0.007633721757925552,0.0023104170564159864
2022-05-24,0.8731944913626621,0.8731944913626621,0.865962492849183,0.008835027729159194,0.008835027729159194,-0.015886259741407824
2022-05-25,0.8906420093059797,0.8906420093059797,0.8650585724942352,0.01998125058724306,0.01998125058724306,-0.0010438331479851268
2022-05-26,0.9125066481453495,0.9125066481453495,0.885740299201324,0.024549301078227444,0.024549301078227444,0.023907891748251066
2022-05-27,0.9073865183204158,0.9073865183204158,0.8821463769997478,-0.0056110602978512595,-0.0056110602978512595,-0.0040575349284850595
2022-05-31,0.9000470206585216,0.9000470206585216,0.9002924763892998,-0.00808861219966078,-0.00808861219966078,0.02057039496241916
2022-06-01,0.9171869721954536,0.9171869721954536,0.8640002065435196,0.01904339567103017,0.01904339567103017,-0.040311644046314134
2022-06-02,0.9021346451483266,0.9021346451483266,0.8587087318903167,-0.016411405202470846,-0.016411405202470846,-0.006124390495659373
2022-06-03,0.9048814823951973,0.9048814823951973,0.8590832558368727,0.0030448195972110023,0.0030448195972110023,0.00043614782597057943
2022-06-06,0.9135611615386715,0.9135611615386715,0.8751569232618557,0.009592061847148486,0.009592061847148486,0.018710255747360422
2022-06-07,0.9036288226624586,0.9036288226624586,0.8684762188151525,-0.01087211157212972,-0.01087211157212972,-0.007633721757925552
2022-06-08,0.8821379405084862,0.8821379405084862,0.8761492302904996,-0.023782864838962837,-0.023782864838962837,0.008835027729159194
2022-06-09,0.8565598273772534,0.8565598273772534,0.8936557876127541,-0.028995593496963547,-0.028995593496963547,0.01998125058724306
2022-06-10,0.824037729933632,0.824037729933632,0.91559441260316,-0.03796827308981154,-0.03796827308981154,0.024549301078227444
2022-06-13,0.8215546629213313,0.8215546629213313,0.9104569571456679,-0.0030132928652438235,-0.0030132928652438235,-0.0056110602978512595
2022-06-14,0.8332671309401932,0.8332671309401932,0.9030926238948335,0.01425646831242374,0.01425646831242374,-0.00808861219966078
2022-06-15,0.8056892692030458,0.8056892692030458,0.9202905740592515,-0.03309606333089205,-0.03309606333089205,0.01904339567103017
2022-06-16,0.8074260271359383,0.8074260271359383,0.9051873125443506,0.0021556175554011516,0.0021556175554011516,-0.016411405202470846
2022-06-17,0.8277518421330229,0.8277518421330229,0.9079434446127325,0.025173594006107726,0.025173594006107726,0.0030448195972110023
2022-06-21,0.8262512867047088,0.8262512867047088,0.9166524942871709,-0.001812808322416107,-0.001812808322416107,0.009592061847148486
2022-06-22,0.834350629068143,0.834350629068143,0.9066865460964098,0.009802517095902262,0.009802517095902262,-0.01087211157212972
2022-06-23,0.860877875219707,0.860877875219707,0.8851229425192928,0.031793882844184454,0.031793882844184454,-0.023782864838962837
2022-06-24,0.8575894660924961,0.8575894660924961,0.8594582774831672,-0.0038198323152070415,-0.0038198323152070415,-0.028995593496963547
2022-06-27,0.8400664031315932,0.8400664031315932,0.8594582774831672,-0.020432927004974368,-0.020432927004974368,-0.0
2022-06-28,0.839382386755678,0.839382386755678,0.8594582774831672,-0.0008142408425874122,-0.0008142408425874122,-0.0
2022-06-29,0.8325629880824953,0.8325629880824953,0.8594582774831672,-0.00812430518055146,-0.00812430518055146,0.0
2022-06-30,0.8413686703342511,0.8413686703342511,0.8594582774831672,0.010576595858574586,0.010576595858574586,-0.0
2022-07-01,0.8429575978999637,0.8429575978999637,0.8594582774831672,0.0018885033656904605,0.0018885033656904605,0.0
2022-07-05,0.8458045004752298,0.8458045004752298,0.8594582774831672,0.003377278504112949,0.003377278504112949,0.0
2022-07-06,0.8584721250613364,0.8584721250613364,0.8594582774831672,0.014977012511743635,0.014977012511743635,-0.0
2022-07-07,0.8577660687132739,0.8577660687132739,0.8678831319414105,-0.0008224569295270958,-0.0008224569295270958,0.009802517095902262
