Model,Accuracy (%),P-Value,Sharpe Ratio,Max Drawdown (%),Final $1 Value
Baseline RF (50% benchmark),50.0,N/A,N/A,N/A,N/A
Random Forest (Tuned),50.1,0.5,-0.12,-15.83,0.95
LSTM Univariate (Baseline),49.9,0.535953,N/A,N/A,N/A
LSTM Multivariate,49.9,0.535953,N/A,N/A,N/A
LSTM Multivariate + Class Weights (FINAL),49.9,0.535953,0.29,-22.09,1.07
